id,sex,ses,marital,profession,education,GIS1,GIS2,GIS3,GIS4,GIS5,GIS6,GIS7,GIS8,GIS9,GIS10,GIS11,GIS12,GIS13,GIS14,GIS15,GIS16,GIS17,GIS18,GIS19,GIS20,GIS21,Age
55,0,2,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,0,4,4,4,74
56,0,1,3,5,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,0,4,4,4,72
57,1,1,1,3,5,3,3,3,3,3,3,3,4,3,4,4,4,2,3,3,3,3,0,4,4,4,66
58,0,1,1,3,5,3,3,2,2,3,3,3,2,3,3,4,4,4,4,4,3,3,1,3,4,4,70
59,0,1,1,5,5,3,4,4,3,4,3,0,3,1,3,4,3,3,3,3,1,1,1,3,3,3,68
60,1,1,1,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,68
61,1,3,1,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,63
62,0,3,1,5,5,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,3,4,3,3,65
63,1,1,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,70
64,1,2,1,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,64
65,0,1,1,5,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,63
66,0,2,1,5,5,4,3,3,3,3,3,3,3,3,3,2,4,4,4,4,4,4,1,3,3,3,62
67,0,2,3,5,5,4,4,4,4,2,4,4,4,3,4,4,4,4,4,4,0,3,3,4,4,4,64
68,0,2,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,64
69,0,2,1,5,5,4,4,4,4,4,4,4,1,0,4,4,4,4,4,4,3,3,3,4,4,4,65
70,0,1,2,5,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,1,3,3,0,4,4,4,62
71,1,1,1,3,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,61
72,0,1,1,5,5,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,70
73,0,2,1,5,5,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,70
74,0,1,1,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,62
75,0,2,1,5,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,70
76,0,1,1,5,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,0,3,3,4,4,4,65
77,0,1,2,3,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,70
78,0,1,1,5,5,3,3,2,2,2,3,3,1,3,2,2,1,3,1,3,1,3,2,3,1,1,65
79,1,1,1,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,66
80,0,1,3,3,5,2,2,2,3,3,2,3,3,3,3,3,3,3,3,2,1,3,2,3,3,3,69
81,1,2,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,72
82,0,1,3,3,5,3,3,2,3,3,2,3,2,2,3,4,3,3,2,3,1,3,2,3,3,3,79
83,0,1,2,3,5,3,3,3,3,3,3,3,3,2,2,1,1,1,2,2,1,1,1,2,1,2,67
